SNo;Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap;Rank
8709;Binance Coin;BNB;16/12/2020;30.6;29.06;29.55;30.49;347039607.00;4402984095;4
8710;Binance Coin;BNB;17/12/2020;31.45;29.83;30.49;30.18;479985920.00;4358786912;4
8711;Binance Coin;BNB;18/12/2020;31.18;29.7;30.18;30.94;359055461.00;4467702132;4
8712;Binance Coin;BNB;19/12/2020;34.17;30.94;30.94;33.3;534843839.00;4808212174;4
8713;Binance Coin;BNB;20/12/2020;35.54;32.67;33.29;34.16;583559932.00;4932970916;4
8714;Binance Coin;BNB;21/12/2020;35.56;31.64;34.2;32.27;583000547.00;4659931518;4
8715;Binance Coin;BNB;22/12/2020;33.76;30.59;32.2;33.48;563925549.00;4835157313;4
8716;Binance Coin;BNB;23/12/2020;34.38;30.07;33.48;31.1;582613805.00;4490740605;4
8717;Binance Coin;BNB;24/12/2020;32.71;30.46;31.11;32.5;488263504.00;4693298909;4
8718;Binance Coin;BNB;25/12/2020;33.44;31.86;32.49;33.16;421026462.00;4789239871;4
8719;Binance Coin;BNB;26/12/2020;33.95;32.6;33.17;33.48;434464851.00;4834318541;4
8720;Binance Coin;BNB;27/12/2020;34.85;32.09;33.48;33.51;567285548.00;4839330614;4
8721;Binance Coin;BNB;28/12/2020;35.98;33.4;33.53;35.84;611476292.00;5176189132;4
8722;Binance Coin;BNB;29/12/2020;39.48;35.34;35.85;38.95;938849532.00;5625044698;4
